stage,evidence_source,source_path,source_row,chronology_block,decision_rule,strategy,metric,numeric_value,text_value
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,standard_error_calendar_date_net_payoff,0.0769649433184,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,trade_share_all_calendar_dates,0.4,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,trade_win_share,0.5,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,calendar_dates,30,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,cumulative_gross_payoff,-0.321,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,cumulative_net_payoff,-0.581,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,market_supported_dates,27,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,market_unsupported_dates,3,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,maximum_drawdown_net_payoff,-1.122,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,mean_calendar_date_net_payoff,-0.0193666666667,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,mean_supported_date_net_payoff,-0.0215185185185,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,standard_error_calendar_date_net_payoff,0.0475367669763,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,trade_share_all_calendar_dates,0.866666666667,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,1,external_test,,24h_prior__tau_0.075,trade_win_share,0.115384615385,
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,continuous_calibration_reselected,0,False
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,date_effect_rows,240,240
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,effect_convention,,baseline loss minus comparator loss; trading uses realised net payoff
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,executable_profitability_claimed,0,False
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,output_hashes.outputs/diagnostics/13_uncertainty_date_effect_panel.csv,,57c36675857b6be322968dc064531bc65d92c6f609afd43cfc7fdb4eca19ea8a
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,output_hashes.outputs/diagnostics/13_uncertainty_date_rule_effect_panel.csv,,03e58d719cdcdb157dc6f43fd5baf1a423c4c33025aba0a5b34870f6fee47e3e
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,positive_effect_interpretation,,positive values favour the locked weather model or locked strategy
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,probability_calibration_reselected,0,False
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.categorical_raw_brier_score,,raw_multiclass_brier_score
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.categorical_raw_log_score,,raw_log_score_finite
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.categorical_regularised_brier_score,,regularised_multiclass_brier_score
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.categorical_regularised_log_score,,regularised_categorical_log_score
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.continuous_model_crps,,model_crps_99q_derived
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.continuous_raw_crps,,raw_crps_derived
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.market_brier_score,,market_multiclass_brier_score
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.market_log_score,,market_categorical_log_score
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.model_brier_score,,model_multiclass_brier_score
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.model_log_score,,model_categorical_log_score
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,resolved_columns.trading_net_payoff,,net_payoff
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,rule_effect_rows,825,825
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,sign_flip_exact_maximum_dates,20,20
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,trading_strategy_reselected,0,False
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,,,,,weather_model_reselected,0,False
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,0,holdout,,,mean_effect,1.41111273722,
