weight_gp,weight_market,development_dates,development_books,date_balanced_categorical_log
0.5610000000,0.4390000000,100,385,1.4430553162
0.5620000000,0.4380000000,100,385,1.4432094073
0.5630000000,0.4370000000,100,385,1.4433638404
0.5640000000,0.4360000000,100,385,1.4435186156
0.5650000000,0.4350000000,100,385,1.4436737329
0.5660000000,0.4340000000,100,385,1.4438291923
0.5670000000,0.4330000000,100,385,1.4439849940
0.5680000000,0.4320000000,100,385,1.4441411379
0.5690000000,0.4310000000,100,385,1.4442976242
0.5700000000,0.4300000000,100,385,1.4444544529
0.5710000000,0.4290000000,100,385,1.4446116240
0.5720000000,0.4280000000,100,385,1.4447691377
0.5730000000,0.4270000000,100,385,1.4449269940
0.5740000000,0.4260000000,100,385,1.4450851929
0.5750000000,0.4250000000,100,385,1.4452437346
0.5760000000,0.4240000000,100,385,1.4454026191
0.5770000000,0.4230000000,100,385,1.4455618465
0.5780000000,0.4220000000,100,385,1.4457214168
0.5790000000,0.4210000000,100,385,1.4458813302
0.5800000000,0.4200000000,100,385,1.4460415867
0.5810000000,0.4190000000,100,385,1.4462021865
0.5820000000,0.4180000000,100,385,1.4463631295
0.5830000000,0.4170000000,100,385,1.4465244160
0.5840000000,0.4160000000,100,385,1.4466860458
0.5850000000,0.4150000000,100,385,1.4468480193
0.5860000000,0.4140000000,100,385,1.4470103364
0.5870000000,0.4130000000,100,385,1.4471729972
0.5880000000,0.4120000000,100,385,1.4473360019
0.5890000000,0.4110000000,100,385,1.4474993505
0.5900000000,0.4100000000,100,385,1.4476630432
0.5910000000,0.4090000000,100,385,1.4478270800
0.5920000000,0.4080000000,100,385,1.4479914610
0.5930000000,0.4070000000,100,385,1.4481561864
0.5940000000,0.4060000000,100,385,1.4483212562
0.5950000000,0.4050000000,100,385,1.4484866705
0.5960000000,0.4040000000,100,385,1.4486524296
0.5970000000,0.4030000000,100,385,1.4488185334
0.5980000000,0.4020000000,100,385,1.4489849820
0.5990000000,0.4010000000,100,385,1.4491517757
0.6000000000,0.4000000000,100,385,1.4493189145
0.6010000000,0.3990000000,100,385,1.4494863986
0.6020000000,0.3980000000,100,385,1.4496542280
0.6030000000,0.3970000000,100,385,1.4498224028
0.6040000000,0.3960000000,100,385,1.4499909233
0.6050000000,0.3950000000,100,385,1.4501597895
0.6060000000,0.3940000000,100,385,1.4503290015
0.6070000000,0.3930000000,100,385,1.4504985595
0.6080000000,0.3920000000,100,385,1.4506684636
0.6090000000,0.3910000000,100,385,1.4508387140
0.6100000000,0.3900000000,100,385,1.4510093107
0.6110000000,0.3890000000,100,385,1.4511802540
0.6120000000,0.3880000000,100,385,1.4513515439
0.6130000000,0.3870000000,100,385,1.4515231805
0.6140000000,0.3860000000,100,385,1.4516951642
0.6150000000,0.3850000000,100,385,1.4518674948
0.6160000000,0.3840000000,100,385,1.4520401727
0.6170000000,0.3830000000,100,385,1.4522131980
0.6180000000,0.3820000000,100,385,1.4523865707
0.6190000000,0.3810000000,100,385,1.4525602912
0.6200000000,0.3800000000,100,385,1.4527343594
0.6210000000,0.3790000000,100,385,1.4529087756
0.6220000000,0.3780000000,100,385,1.4530835399
0.6230000000,0.3770000000,100,385,1.4532586525
0.6240000000,0.3760000000,100,385,1.4534341135
0.6250000000,0.3750000000,100,385,1.4536099232
0.6260000000,0.3740000000,100,385,1.4537860815
0.6270000000,0.3730000000,100,385,1.4539625888
0.6280000000,0.3720000000,100,385,1.4541394452
0.6290000000,0.3710000000,100,385,1.4543166509
0.6300000000,0.3700000000,100,385,1.4544942059
0.6310000000,0.3690000000,100,385,1.4546721106
0.6320000000,0.3680000000,100,385,1.4548503650
0.6330000000,0.3670000000,100,385,1.4550289694
0.6340000000,0.3660000000,100,385,1.4552079239
0.6350000000,0.3650000000,100,385,1.4553872287
0.6360000000,0.3640000000,100,385,1.4555668839
0.6370000000,0.3630000000,100,385,1.4557468899
0.6380000000,0.3620000000,100,385,1.4559272467
0.6390000000,0.3610000000,100,385,1.4561079545
0.6400000000,0.3600000000,100,385,1.4562890135
0.6410000000,0.3590000000,100,385,1.4564704239
0.6420000000,0.3580000000,100,385,1.4566521859
0.6430000000,0.3570000000,100,385,1.4568342998
0.6440000000,0.3560000000,100,385,1.4570167656
0.6450000000,0.3550000000,100,385,1.4571995836
0.6460000000,0.3540000000,100,385,1.4573827539
0.6470000000,0.3530000000,100,385,1.4575662769
0.6480000000,0.3520000000,100,385,1.4577501526
0.6490000000,0.3510000000,100,385,1.4579343813
0.6500000000,0.3500000000,100,385,1.4581189633
0.6510000000,0.3490000000,100,385,1.4583038986
0.6520000000,0.3480000000,100,385,1.4584891875
0.6530000000,0.3470000000,100,385,1.4586748302
0.6540000000,0.3460000000,100,385,1.4588608270
0.6550000000,0.3450000000,100,385,1.4590471780
0.6560000000,0.3440000000,100,385,1.4592338835
0.6570000000,0.3430000000,100,385,1.4594209437
0.6580000000,0.3420000000,100,385,1.4596083588
0.6590000000,0.3410000000,100,385,1.4597961290
0.6600000000,0.3400000000,100,385,1.4599842546
0.6610000000,0.3390000000,100,385,1.4601727357
0.6620000000,0.3380000000,100,385,1.4603615727
0.6630000000,0.3370000000,100,385,1.4605507657
0.6640000000,0.3360000000,100,385,1.4607403149
0.6650000000,0.3350000000,100,385,1.4609302207
0.6660000000,0.3340000000,100,385,1.4611204832
0.6670000000,0.3330000000,100,385,1.4613111026
0.6680000000,0.3320000000,100,385,1.4615020793
0.6690000000,0.3310000000,100,385,1.4616934134
0.6700000000,0.3300000000,100,385,1.4618851053
0.6710000000,0.3290000000,100,385,1.4620771550
