model,decision_rule,strategy,threshold,event_date,n_positions,total_stake,net_pnl,cumulative_net_pnl
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,2026-05-27,1,1.0,-0.15,-0.6214999999999999
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,2026-05-28,1,1.0,-0.15,-0.7715
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,2026-05-29,1,1.0,-0.12,-0.8915
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,2026-05-30,1,1.0,0.74,-0.15149999999999997
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,2026-05-31,1,1.0,0.845,0.6935
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,2026-05-22,1,1.0,-0.185,-0.185
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,2026-05-23,1,1.0,-0.0665,-0.2515
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,2026-05-24,0,0.0,0.0,-0.2515
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,2026-05-25,1,1.0,-0.06,-0.3115
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,2026-05-26,1,1.0,-0.16,-0.47150000000000003
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,2026-05-27,1,1.0,-0.15,-0.6214999999999999
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,2026-05-28,1,1.0,-0.15,-0.7715
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,2026-05-29,0,0.0,0.0,-0.7715
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,2026-05-30,0,0.0,0.0,-0.7715
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,2026-05-31,1,1.0,0.845,0.07350000000000001
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,2026-05-22,3,1.0,-0.09986507562278285,-0.09986507562278285
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,2026-05-23,7,1.0000000000000002,0.2621142204143631,0.16224914479158026
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,2026-05-24,6,0.9999999999999997,-0.10133537836759676,0.060913766423983495
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,2026-05-25,6,1.0,-0.08228338212439931,-0.021369615700415817
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,2026-05-26,5,1.0,-0.06885641587689326,-0.09022603157730907
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,2026-05-27,6,1.0,-0.08386337351942666,-0.17408940509673573
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,2026-05-28,5,0.9999999999999999,0.39143115381258303,0.2173417487158473
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,2026-05-29,1,1.0,0.25,0.4673417487158473
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,2026-05-30,5,0.9999999999999999,-0.04451451032335156,0.42282723839249575
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,2026-05-31,6,1.0,0.049780172013252105,0.4726074104057479
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.02,2026-05-22,1,1.0,-0.07,-0.07
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.02,2026-05-23,4,1.0,0.2788833610239651,0.2088833610239651
