pipeline,model,decision_rule,strategy,threshold,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,n_books,n_active_books,n_positions,n_dates,total_net_pnl,mean_net_pnl_per_active_book,positive_book_rate
21b,catboost_raw,12h_prior,single_best_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,6,6,6,-0.7549999999999999,-0.12583333333333335,0.0
21b,catboost_raw,12h_prior,single_best_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,4,4,4,-0.5899999999999999,-0.14750000000000002,0.0
21b,catboost_raw,24h_prior,proportional_positive_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,3,6,3,-0.2402095476055302,-0.0800698492018434,0.3333333333333333
21b,catboost_raw,24h_prior,proportional_positive_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,4,5,4,-0.4305624636219609,-0.10764061590549023,0.25
21b,catboost_raw,24h_prior,proportional_positive_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,2,2,2,0.5499999999999999,0.27499999999999997,0.5
21b,catboost_raw,24h_prior,single_best_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,5,5,5,-0.22499999999999998,-0.045000000000000005,0.2
21b,catboost_raw,24h_prior,single_best_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,5,5,5,-0.22499999999999998,-0.045000000000000005,0.2
21b,catboost_raw,24h_prior,single_best_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,2,2,2,0.5499999999999999,0.27499999999999997,0.5
21b,catboost_raw,6h_prior,proportional_positive_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,4,5,4,-0.42865160767546573,-0.10716290191886643,0.0
21b,catboost_raw,6h_prior,proportional_positive_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,5,6,5,-0.5786516076754658,-0.11573032153509313,0.0
21b,catboost_raw,6h_prior,proportional_positive_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,3,4,3,-0.37865160767546574,-0.1262172025584886,0.0
21b,catboost_raw,6h_prior,single_best_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,5,5,5,-0.6300000000000001,-0.126,0.0
