model,scope,scope_value,series,lag_days,autocorrelation,dates
matern32,decision_rule,6h_prior,absolute_standardised_residual,8,-0.0480870239843707,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,9,0.0471275057507984,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,10,0.0353040243510579,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,11,-0.0336272213528013,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,12,0.0094914667579873,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,13,0.0345819253896265,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,14,0.115026178363637,365
matern32,decision_rule,6h_prior,squared_standardised_residual,1,0.1926853697532944,365
matern32,decision_rule,6h_prior,squared_standardised_residual,2,0.1246257119133612,365
matern32,decision_rule,6h_prior,squared_standardised_residual,3,0.0749598904384336,365
matern32,decision_rule,6h_prior,squared_standardised_residual,4,0.0471820359437059,365
matern32,decision_rule,6h_prior,squared_standardised_residual,5,0.0526753247526944,365
matern32,decision_rule,6h_prior,squared_standardised_residual,6,-0.0017444087358131,365
matern32,decision_rule,6h_prior,squared_standardised_residual,7,0.0695123149845258,365
matern32,decision_rule,6h_prior,squared_standardised_residual,8,-0.0542673616995587,365
matern32,decision_rule,6h_prior,squared_standardised_residual,9,0.023083061012978,365
matern32,decision_rule,6h_prior,squared_standardised_residual,10,0.0088865967852138,365
