model,scope_type,scope_value,nominal_probability,empirical_probability,calibration_error,absolute_calibration_error,squared_calibration_error,rows,dates
rbf,decision_rule,6h_prior,0.68,0.6821917808219178,0.0021917808219177326,0.0021917808219177326,4.8039031713263716e-06,365,365
rbf,decision_rule,6h_prior,0.69,0.6986301369863014,0.00863013698630144,0.00863013698630144,7.44792644023281e-05,365,365
rbf,decision_rule,6h_prior,0.7,0.7068493150684931,0.006849315068493178,0.006849315068493178,4.691311690748771e-05,365,365
rbf,decision_rule,6h_prior,0.71,0.7178082191780822,0.007808219178082276,0.007808219178082276,6.0968286732971855e-05,365,365
rbf,decision_rule,6h_prior,0.72,0.7205479452054795,0.0005479452054795164,0.0005479452054795164,3.002439482079895e-07,365,365
rbf,decision_rule,6h_prior,0.73,0.736986301369863,0.006986301369863002,0.006986301369863002,4.8808406830549654e-05,365,365
rbf,decision_rule,6h_prior,0.74,0.7479452054794521,0.0079452054794521,0.0079452054794521,6.312629011071567e-05,365,365
rbf,decision_rule,6h_prior,0.75,0.7616438356164383,0.011643835616438336,0.011643835616438336,0.00013557890786263793,365,365
rbf,decision_rule,6h_prior,0.76,0.7726027397260274,0.012602739726027434,0.012602739726027434,0.00015882904860199006,365,365
rbf,decision_rule,6h_prior,0.77,0.7835616438356164,0.013561643835616422,0.013561643835616422,0.00018391818352411288,365,365
rbf,decision_rule,6h_prior,0.78,0.7917808219178082,0.01178082191780816,0.01178082191780816,0.00013878776505910913,365,365
rbf,decision_rule,6h_prior,0.79,0.7945205479452054,0.0045205479452054,0.0045205479452054,2.0435353724900763e-05,365,365
rbf,decision_rule,6h_prior,0.8,0.8,0.0,0.0,0.0,365,365
rbf,decision_rule,6h_prior,0.81,0.810958904109589,0.0009589041095889872,0.0009589041095889872,9.194970913866484e-07,365,365
rbf,decision_rule,6h_prior,0.82,0.821917808219178,0.0019178082191780854,0.0019178082191780854,3.677988365547019e-06,365,365
rbf,decision_rule,6h_prior,0.83,0.8328767123287671,0.0028767123287671836,0.0028767123287671836,8.275473822481113e-06,365,365
rbf,decision_rule,6h_prior,0.84,0.8383561643835616,-0.0016438356164383272,0.0016438356164383272,2.702195533871175e-06,365,365
rbf,decision_rule,6h_prior,0.85,0.8465753424657534,-0.003424657534246589,0.003424657534246589,1.1728279226871927e-05,365,365
rbf,decision_rule,6h_prior,0.86,0.8657534246575342,0.005753424657534256,0.005753424657534256,3.310189528992317e-05,365,365
