model,scope,scope_value,stratification_variable,quartile,rows,dates,variable_minimum,variable_maximum,variable_mean,mean_squared_standardised_residual,mean_absolute_standardised_residual,central_90_empirical_coverage,mean_crps_c
matern32,decision_rule,6h_prior,predictive_standard_deviation_c,Q4,91,91,1.4915269325,1.5569927329,1.524976280931868,0.8601634055393297,0.7709852904252865,0.9230769230769231,0.805547131345055
matern32,decision_rule,6h_prior,temperature_predictive_mean_c,Q1,92,92,14.9134328702,23.7221896492,21.151171799797826,0.9286611406967746,0.7429011926679273,0.9130434782608695,0.7787121656315218
matern32,decision_rule,6h_prior,temperature_predictive_mean_c,Q2,91,91,23.7801417376,28.104082164,26.24476273216593,1.4250609835880261,0.9600075516560446,0.8241758241758241,0.9917102379824175
matern32,decision_rule,6h_prior,temperature_predictive_mean_c,Q3,91,91,28.2125377867,31.269803949,29.80000030464066,1.0616294155095187,0.8484187634390661,0.8571428571428571,0.8598609985527473
matern32,decision_rule,6h_prior,temperature_predictive_mean_c,Q4,91,91,31.2890791252,35.2570647924,32.643484101991206,1.0963582235395752,0.8485714289410615,0.8571428571428571,0.8589531135483517
matern32,decision_rule,6h_prior,forecast_daily_max_c,Q1,92,92,13.5,22.3,19.74891304347826,1.0376323940291736,0.7803796123654668,0.9021739130434783,0.8168254543641303
matern32,decision_rule,6h_prior,forecast_daily_max_c,Q2,91,91,22.6,26.6,24.886813186813185,1.2929098572731432,0.9112435640232888,0.8351648351648352,0.9436550486659341
matern32,decision_rule,6h_prior,forecast_daily_max_c,Q3,91,91,26.8,29.3,28.197802197802197,1.0295327661328881,0.839255184096978,0.8681318681318682,0.8407513802428572
matern32,decision_rule,6h_prior,forecast_daily_max_c,Q4,91,91,29.3,33.5,30.747252747252748,1.1504372595983339,0.8686087254524588,0.8461538461538461,0.8875858050934066
matern32,decision_rule,event_day_open,predictive_standard_deviation_c,Q1,92,92,1.2091510145,1.3651033494,1.297395109472826,0.9498918802898523,0.7714742776447238,0.9347826086956522,0.7018293270673913
matern32,decision_rule,event_day_open,predictive_standard_deviation_c,Q2,91,91,1.3676859427,1.4154292299,1.3972351489857144,0.8710127310879702,0.738549956744081,0.9230769230769231,0.7334342406417582
matern32,decision_rule,event_day_open,predictive_standard_deviation_c,Q3,91,91,1.4154311232,1.4321275903,1.4225884307142858,1.243102593586894,0.9468178023839585,0.9010989010989011,0.9276863072857142
matern32,decision_rule,event_day_open,predictive_standard_deviation_c,Q4,91,91,1.4324824752,1.4696742447,1.4485626814395605,0.8830858435690557,0.774301424861086,0.9230769230769231,0.7793477612153846
matern32,decision_rule,event_day_open,temperature_predictive_mean_c,Q1,92,92,14.9369674557,23.7592872423,21.00445214796087,0.8928600021895828,0.7204179518003259,0.9239130434782609,0.7251254959130434
matern32,decision_rule,event_day_open,temperature_predictive_mean_c,Q2,91,91,23.8104800351,27.8827482008,26.0223864777,1.0492898389900671,0.8718060314675222,0.9340659340659341,0.8286670502703297
matern32,decision_rule,event_day_open,temperature_predictive_mean_c,Q3,91,91,27.9388547797,31.2621021391,29.715534002807694,1.056891780110422,0.8676409274444582,0.9010989010989011,0.8290686587945055
matern32,decision_rule,event_day_open,temperature_predictive_mean_c,Q4,91,91,31.2686748392,35.3834676159,32.784354525271425,0.9486781511788682,0.7718396094473055,0.9230769230769231,0.7591804293769231
matern32,decision_rule,event_day_open,forecast_daily_max_c,Q1,92,92,13.5,22.6,19.778260869565216,0.9170000807440936,0.7330020826816149,0.9239130434782609,0.7369259355945651
matern32,decision_rule,event_day_open,forecast_daily_max_c,Q2,91,91,22.6,26.6,24.813186813186814,1.0212177643565372,0.8593337420462465,0.9340659340659341,0.8164440044527472
matern32,decision_rule,event_day_open,forecast_daily_max_c,Q3,91,91,26.6,29.4,28.142857142857142,1.0090373651806452,0.8393434232077752,0.9120879120879121,0.8025158507835165
matern32,decision_rule,event_day_open,forecast_daily_max_c,Q4,91,91,29.4,33.6,30.9021978021978,1.000199286599153,0.7998869850714334,0.9120879120879121,0.7860261683626374
